"","producto","precio","tienda","tipo"
"1","PEGAMENTO  EN BARRA   20  GRAMOS          PRITT",890,"DIMEIGGS","PEGAMENTO"
"2","PEGAMENTO  EN BARRA   36  GRAMOS          TORRE",890,"DIMEIGGS","PEGAMENTO"
"3","PEGAMENTO  EN BARRA   40  GRAMOS          PRITT",1390,"DIMEIGGS","PEGAMENTO"
"4","Adhesivo En Barra 21gr. Uhu ",1090,"NACIONAL","PEGAMENTO"
"5","Adhesivo En Barra 40gr. Uhu ",1490,"NACIONAL","PEGAMENTO"
"6","Adhesivo Instántaneo 2ml. La Gotita ",2990,"NACIONAL","PEGAMENTO"
"7","Adhesivo Instántaneo Gel 3gr. La Gotita ",3190,"NACIONAL","PEGAMENTO"
"8","Agorex Transparente 120cc. Henkel",5490,"NACIONAL","PEGAMENTO"
"9","Blister 3 Pegamento en Barra 15grs. Artel",1490,"NACIONAL","PEGAMENTO"
"10","Blister 4 Pegamento en Barra 6grs. Artel",1290,"NACIONAL","PEGAMENTO"
"11","Cemento Caucho 236ml. Artel",4990,"NACIONAL","PEGAMENTO"
"12","CINTA ADHESIVA ARTEL 18mm 30m",790,"NACIONAL","PEGAMENTO"
"13","Cinta Adhesiva Mágica Con Dispensador 18mm. 20mt. 3M",2790,"NACIONAL","PEGAMENTO"
"14","Cinta Cristal 19mm.x20mt. 3M",1790,"NACIONAL","PEGAMENTO"
"15","Cinta Embalaje Café 48mm.X40mt. 3M",1190,"NACIONAL","PEGAMENTO"
"16","Cinta Embalaje Transparente 48mm.X40mt. 3M",1190,"NACIONAL","PEGAMENTO"
"17","Cinta Embalaje Transparente Rollo 48Mmx40Mt Artel",1190,"NACIONAL","PEGAMENTO"
"18","Cinta Embalar Café Rollo 48mm. 40mt. Artel",1090,"NACIONAL","PEGAMENTO"
"19","Cinta Magica 19mm. 10mt. 3M",1790,"NACIONAL","PEGAMENTO"
"20","Cinta Magica 810 19mm. 25mt. 3M",3690,"NACIONAL","PEGAMENTO"
"21","Cola Fría 120grs. Artel",790,"NACIONAL","PEGAMENTO"
"22","Cola Fría 1kg. Artel",3690,"NACIONAL","PEGAMENTO"
"23","Cola Fría 225grs. Artel",1290,"NACIONAL","PEGAMENTO"
"24","Cola Fría 40grs. Artel",390,"NACIONAL","PEGAMENTO"
"25","Cola Fría 450grs. Artel",1690,"NACIONAL","PEGAMENTO"
"26","Pack 3 Cintas 500 Transparente 18mm. 30mt. 3M",2090,"NACIONAL","PEGAMENTO"
"27","Patafix Amarillo Masilla Adhesiva UHU",1990,"NACIONAL","PEGAMENTO"
"28","Pegamento en Barra 115grs. Artel",2590,"NACIONAL","PEGAMENTO"
"29","Pegamento en Barra 21grs. Artel",690,"NACIONAL","PEGAMENTO"
"30","Pegamento en Barra 36grs. Artel",1090,"NACIONAL","PEGAMENTO"
"31","Pegamento en Barra 8grs. Artel",490,"NACIONAL","PEGAMENTO"
"32","Pegamento en Barra Triangular 12grs. Artel",790,"NACIONAL","PEGAMENTO"
"33","Pegamento Glitter Morado 177ml. Elmers",2990,"NACIONAL","PEGAMENTO"
